Sydney (Capital),NSW
Albury (NSW-Victoria border),NSW
Armidale,NSW
Bathurst,NSW
Broken Hill,NSW
Cessnock,NSW
Coffs Harbour,NSW
Dubbo,NSW
Gosford,NSW
Goulburn,NSW
Grafton,NSW
Griffith,NSW
Lake Macquarie,NSW
Lismore,NSW
Maitland,NSW
Newcastle,NSW
Nowra,NSW
Orange,NSW
Port Macquarie,NSW
Queanbeyan (adjacent to Canberra),NSW
Tamworth,NSW
Tweed Heads (NSW-Queensland border),NSW
Wagga Wagga,NSW
Wollongong,NSW
Wyong,NSW
,
Darwin (Capital),NT
Alice Springs,NT
Katherine,NT
Palmerston,NT
,
Brisbane (Capital),QLD
Bundaberg,QLD
Cairns,QLD
Charters Towers,QLD
Gladstone,QLD
Gold Coast,QLD
Gympie,QLD
Hervey Bay,QLD
Ipswich,QLD
Logan City,QLD
Mackay,QLD
Maryborough,QLD
Mount Isa,QLD
Nambour,QLD
Redcliffe,QLD
Rockhampton,QLD
Sunshine Coast {region},QLD
Thuringowa,QLD
Toowoomba,QLD
Townsville,QLD
,
Adelaide (Capital),SA
Gladstone,SA
Mount Gambier,SA
Murray Bridge,SA
Port Augusta,SA
Port Pirie,SA
Port Lincoln,SA
Victor Harbor,SA
Whyalla,SA
,
Hobart (Capital),TAS
Burnie,TAS
Clarence,TAS
Devonport,TAS
Glenorchy,TAS
Launceston,TAS
,
Melbourne (Capital),VIC
Benalla,VIC
Ballarat,VIC
Bendigo,VIC
Geelong,VIC
Latrobe City,VIC
Mildura,VIC
Shepparton,VIC
Swan Hill,VIC
Wangaratta,VIC
Warrnambool,VIC
Wodonga,VIC
,
Perth (Capital),WA
Albany,WA
Broome,WA
Bunbury,WA
Geraldton,WA
Fremantle,WA
Kalgoorlie,WA
Mandurah,WA
Port Hedland,WA
